Ticker;Nome
AFLT3;Afluente T
SNSY3;Sansuy
BAUH4;Excelsior
MERC4;Mercantil do Brasil Financeira
RPAD6;Alfa Holdings
FIEI3;Fica
RPAD3;Alfa Holdings
MRSA6B;MRS Logística
CEGR3;Naturgy (CEG)
MRSA3B;MRS Logística
MOAR3;Monteiro Aranha
IGTI4;Jereissati Participações
IGTI4;Iguatemi
ESTR4;Estrela
BRKM6;Braskem
RPAD5;Alfa Holdings
CEED3;CEEE D
PSVM11;PORTO VM
SOND5;Sondotécnica
LIPR3;Eletropar
BGIP3;Banese
BMIN3;Banco Mercantil de Investimentos
EQPA5;Equatorial Energia Pará
EQPA7;Equatorial Energia Pará
CLSC3;Celesc
DOHL3;Döhler
HETA4;Hercules
